Year;average_air_temperature;maximum_air_temperature;minimum_air_temperature;average_soil_surface_temperature;maximum_soil_surface_temperature;minimum_soil_surface_temperature;Partial_pressure_of_water_vapor_hPa;Average_relative_humidity;average_saturation_deficit_hPa;saturation_deficit_maximum_hPa;Atmospheric_pressure_at_the_station_level_hPa;Atmospheric_pressure_at_sea_level_hPa;Mean_wind_speed_m/s;Daily_precipitation_total_mm;Month_num;Decada_num
2010;24.9;33.0;16.9;31;55;15;11.8;40.0;21.8;38.5;970.8;1008.0;4.9;5.2;6;2
2010;19.3;27.1;11.2;27;51;9;9.0;44.0;14.9;25.5;976.0;1014.3;4.3;0.3;6;3
2010;21.5;29.3;13.0;29;55;11;10.5;45.0;16.9;31.9;977.2;1015.2;3.5;0.0;6;1
2010;22.5;29.8;15.6;29;53;14;11.5;45.0;17.2;30.8;965.7;1003.1;4.2;2.3;7;2
2010;18.4;25.8;10.0;25;50;9;8.8;44.0;13.5;23.7;977.5;1015.9;3.5;0.6;7;3
2010;20.2;27.2;13.0;28;52;12;9.8;44.0;14.9;24.8;972.8;1010.8;4.4;1.9;7;1
2010;21.5;30.2;12.6;26;49;11;9.2;39.0;18.2;32.3;975.4;1013.4;4.2;0.0;8;2
2010;22.0;29.8;14.3;26;48;13;10.5;44.0;17.9;32.1;971.9;1009.6;4.0;0.4;8;3
2010;22.6;30.3;14.5;29;52;13;10.0;39.0;19.0;31.5;977.7;1015.6;3.6;0.0;8;1
2010;9.6;17.4;1.9;14;36;0;5.5;49.0;7.4;14.3;983.1;1023.0;3.7;1.5;9;2
2010;13.3;21.7;6.3;15;33;4;7.4;53.0;9.0;18.2;978.5;1017.6;4.4;3.7;9;3
2010;16.8;26.6;8.1;22;43;6;6.5;37.0;15.2;27.8;978.2;1016.9;4.6;0.0;9;1
2011;12.8;20.2;6.5;11;25;1;9.1;64.0;6.5;13.8;976.3;1015.4;4.5;9.0;4;2
2011;2.4;7.6;-2.0;-1;6;-4;6.08;82.0;1.9;4.4;981.7;1022.6;4.0;1.2;4;1
2011;11.0;17.5;4.9;16;38;3;5.9;48.0;7.9;14.2;977.9;1017.4;5.1;0.3;4;3
2011;14.3;21.3;6.7;19;44;4;6.0;41.0;11.1;19.0;976.7;1015.7;4.4;6.0;5;2
2011;12.8;20.2;4.7;18;42;2;5.1;38.0;10.8;18.9;981.4;1020.8;5.2;0.0;5;1
2011;15.1;21.5;9.2;18;38;7;9.6;60.0;8.4;17.7;971.3;1009.9;5.6;30.3;5;3
