Year;average_air_temperature;maximum_air_temperature;minimum_air_temperature;average_soil_surface_temperature;maximum_soil_surface_temperature;minimum_soil_surface_temperature;Partial_pressure_of_water_vapor_hPa;Average_relative_humidity;average_saturation_deficit_hPa;saturation_deficit_maximum_hPa;Atmospheric_pressure_at_the_station_level_hPa;Atmospheric_pressure_at_sea_level_hPa;Mean_wind_speed_m/s;Daily_precipitation_total_mm;Month_num;Decada_num
2010;14.1;20.3;7.7;18.0;39.0;6.0;7.6;50.0;9.5;17.7;959.6;1010.2;5.2;6.3;5;3
2010;21.7;28.6;14.9;27.0;49.0;11.0;7.2;31.0;20.5;31.6;965.5;1015.0;3.3;0.8;6;1
2010;23.3;31.4;16.0;27.0;46.0;14.0;10.9;40.0;19.9;33.4;958.9;1007.7;5.4;5.5;6;2
2010;19.5;25.8;13.2;24.0;43.0;10.0;8.6;42.0;15.5;24.9;965.2;1015.1;3.9;4.3;6;3
2010;19.1;25.2;12.9;25.0;46.0;11.0;8.3;40.0;14.5;23.5;962.4;1012.2;4.0;0.0;7;1
2010;20.7;26.9;15.0;25.0;46.0;13.0;12.0;51.0;13.2;23.4;954.6;1003.7;4.3;3.2;7;2
2010;19.9;25.9;13.7;24.0;44.0;10.0;8.7;39.0;15.4;23.2;966.9;1016.8;2.8;2.5;7;3
2010;23.5;29.2;17.4;29.0;52.0;14.0;10.9;39.0;19.2;29.2;967.4;1016.6;3.3;0.3;8;1
2010;21.5;28.3;14.6;25.0;48.0;11.0;9.3;37.0;17.6;29.3;964.3;1013.8;3.5;0.0;8;2
2010;19.8;26.3;13.7;21.0;40.0;11.0;10.9;52.0;13.8;24.7;959.4;1008.9;3.6;8.6;8;3
2010;16.1;23.9;9.3;18.0;37.0;7.0;5.7;36.0;14.9;24.4;966.6;1017.3;5.0;0.0;9;1
2010;10.1;16.2;4.6;12.0;32.0;1.0;5.1;44.0;8.4;14.2;971.3;1023.3;2.5;1.6;9;2
2010;13.0;19.1;6.9;14.0;31.0;4.0;6.5;48.0;9.2;15.4;965.9;1017.0;3.8;0.3;9;3
2011;-0.8;2.7;-4.7;-4.0;0.0;-8.0;5.31;88.0;0.71;1.4;972.9;1021.5;3.2;0.6;4;1
2011;10.0;17.1;5.2;3.0;9.0;-1.0;9.2;76.0;3.6;8.6;966.5;1015.1;4.2;15.5;4;2
2011;9.0;14.4;3.9;8.0;21.0;-1.0;6.8;61.0;5.1;9.7;969.2;1017.8;4.3;6.5;4;3
2011;12.8;19.0;6.3;17.0;38.0;3.0;5.5;38.0;10.0;16.4;974.9;1021.9;5.1;0.0;5;1
2011;12.7;19.0;5.5;17.0;40.0;2.0;5.5;40.0;10.0;17.1;969.2;1016.2;3.4;8.1;5;2
2011;13.7;19.4;8.5;16.0;31.0;6.0;10.3;68.0;6.1;11.8;963.3;1010.3;4.1;34.6;5;3
2011;17.1;22.0;12.4;20.0;34.0;11.0;13.5;72.0;6.8;13.6;957.1;1002.85;2.7;39.9;6;1
2011;17.7;24.1;12.2;23.0;43.0;11.0;11.0;57.0;10.3;17.6;959.2;1004.95;2.7;14.9;6;2
2011;16.7;21.4;12.7;19.0;32.0;11.0;14.8;79.0;4.8;10.8;961.2;1006.95;3.1;38.6;6;3
2011;20.1;26.4;13.7;26.0;45.0;12.0;14.1;61.0;10.5;19.8;968.6;1013.9;2.9;9.4;7;1
2011;17.6;22.2;13.2;21.0;37.0;12.0;14.6;74.0;6.3;11.9;961.9;1007.2;3.4;39.3;7;2
2011;19.6;25.0;14.7;23.0;39.0;13.0;15.9;71.0;7.8;15.4;966.3;1011.6;3.2;12.8;7;3
2011;16.2;22.1;10.4;20.0;39.0;9.0;12.1;68.0;6.9;14.1;963.6;1009.5;3.5;8.0;8;1
2011;19.5;26.3;13.2;24.0;45.0;11.0;12.3;58.0;12.0;23.6;968.8;1014.7;3.5;4.2;8;2
2011;12.8;18.7;7.6;16.0;32.0;6.0;9.2;65.0;6.4;13.5;965.6;1011.5;2.7;6.0;8;3
2011;19.2;26.2;12.2;22.0;43.0;9.0;8.3;40.0;15.1;25.9;969.1;1016.5;2.8;0.0;9;1
2011;16.6;23.1;10.7;18.0;37.0;8.0;8.6;49.0;11.0;20.1;966.1;1013.5;2.3;4.0;9;2
2011;8.3;13.4;3.8;9.0;22.0;2.0;7.6;72.0;3.7;8.3;968.0;1015.4;3.5;13.9;9;3
2012;12.7;20.0;5.5;15.0;35.0;1.0;5.7;42.0;10.3;18.1;969.9;1015.3;3.6;3.1;4;3
2012;4.9;10.8;-0.4;-1.0;2.0;-4.0;6.05;73.0;3.1;7.3;974.2;1021.1;3.4;0.9;4;1
2012;15.0;22.4;7.3;13.0;27.0;2.0;6.9;44.0;11.2;20.3;971.5;1016.6;2.0;0.0;4;2
2012;18.3;25.2;11.0;23.0;46.0;8.0;12.3;58.0;10.1;17.5;969.6;1014.0;2.9;4.3;5;3
2012;10.2;16.7;4.3;14.0;33.0;3.0;7.6;63.0;5.6;11.9;966.7;1012.3;3.6;11.2;5;1
2012;16.6;22.6;9.1;20.0;41.0;6.0;7.8;45.0;12.5;21.1;971.4;1016.2;4.3;10.2;5;2
2012;20.7;26.5;15.4;25.0;42.0;14.0;13.3;60.0;12.9;22.7;962.3;1006.0;4.5;17.6;6;3
2012;20.7;27.5;13.2;26.0;50.0;9.0;11.1;47.0;15.0;26.7;966.3;1010.2;2.8;6.5;6;1
2012;21.0;27.4;14.5;27.0;52.0;13.0;12.1;52.0;13.7;24.2;960.2;1003.7;3.3;0.0;6;2
2012;20.8;26.8;15.2;25.0;41.0;14.0;13.9;62.0;11.8;20.4;962.9;1006.6;4.1;45.0;7;3
2012;20.8;27.1;14.3;26.0;46.0;13.0;13.0;55.0;12.6;23.8;967.2;1011.0;4.2;5.6;7;1
2012;27.1;34.0;19.2;33.0;59.0;16.0;12.0;36.0;25.4;41.2;967.0;1010.0;2.4;0.0;7;2
2012;16.5;22.5;10.9;19.0;36.0;8.0;12.0;67.0;7.7;15.8;963.6;1007.9;2.9;14.0;8;3
2012;20.5;26.7;14.5;23.0;42.0;12.0;14.7;63.0;10.3;19.3;967.0;1010.9;2.0;5.6;8;1
2012;23.4;30.2;17.0;27.0;49.0;14.0;13.1;48.0;17.2;29.6;968.6;1012.1;2.5;1.5;8;2
2012;11.0;16.9;5.5;13.0;31.0;2.0;7.0;56.0;6.6;12.5;973.3;1019.1;2.6;0.1;9;3
2012;15.0;21.9;8.9;18.0;37.0;6.0;7.8;49.0;10.6;19.7;966.3;1011.1;3.2;0.1;9;1
2012;11.5;16.5;7.4;12.0;24.0;5.0;8.2;64.0;6.1;11.9;965.0;1010.3;4.9;7.1;9;2
2013;10.1;15.6;5.5;10.0;18.0;4.0;9.4;77.0;3.5;7.6;961.8;1008.5;5.4;13.4;4;3
2013;3.5;8.2;-0.7;-2.0;0.0;-4.0;6.15;75.0;2.5;4.9;978.2;1026.9;2.4;0.0;4;1
2013;4.9;9.7;1.7;0.0;3.0;-2.0;6.96;80.0;2.3;5.6;967.7;1015.6;5.3;14.2;4;2
2013;15.1;21.1;8.7;19.0;37.0;6.0;7.8;48.0;10.4;17.7;970.1;1016.4;3.9;1.0;5;3
2013;10.3;16.8;4.6;11.0;24.0;1.0;6.6;57.0;6.8;13.4;968.9;1015.9;5.6;14.6;5;1
2013;10.6;17.3;5.3;13.0;29.0;3.0;7.7;60.0;6.1;11.2;966.7;1013.6;4.0;17.2;5;2
2013;21.4;27.3;15.3;27.0;48.0;14.0;9.7;39.0;16.9;26.2;964.9;1009.9;6.2;1.2;6;3
2013;15.8;21.9;9.3;21.0;41.0;7.0;7.7;44.0;11.0;18.4;963.4;1009.2;3.7;5.5;6;1
2013;19.4;25.4;12.0;25.0;46.0;9.0;8.5;39.0;15.1;23.3;969.1;1014.6;2.9;0.3;6;2
2013;19.7;24.6;15.2;22.0;37.0;13.0;17.1;76.0;6.3;13.2;958.4;1003.2;2.5;27.0;7;3
2013;17.5;23.0;12.4;22.0;41.0;10.0;11.8;62.0;9.1;16.9;962.0;1007.4;4.2;28.9;7;1
2013;17.0;21.8;12.8;19.0;32.0;11.0;15.0;78.0;5.2;11.4;957.9;1003.2;3.1;37.9;7;2
2013;15.8;21.0;11.4;17.0;31.0;9.0;12.3;70.0;6.4;12.9;965.6;1011.5;4.4;22.0;8;3
2013;18.9;23.6;14.8;21.0;35.0;13.0;17.2;80.0;5.0;11.3;956.3;1001.1;2.2;25.2;8;1
2013;17.2;22.9;11.4;21.0;39.0;9.0;13.2;69.0;7.2;15.4;971.4;1017.4;1.9;1.5;8;2
2013;10.3;17.9;4.2;11.0;27.0;1.0;6.6;56.0;7.1;14.3;965.6;1012.5;3.1;22.1;9;3
