Year;average_air_temperature;maximum_air_temperature;minimum_air_temperature;average_soil_surface_temperature;maximum_soil_surface_temperature;minimum_soil_surface_temperature;Partial_pressure_of_water_vapor_hPa;Average_relative_humidity;average_saturation_deficit_hPa;saturation_deficit_maximum_hPa;Atmospheric_pressure_at_the_station_level_hPa;Atmospheric_pressure_at_sea_level_hPa;Mean_wind_speed_m/s;Daily_precipitation_total_mm;Month_num;Decada_num
2012;19.8;26.4;13.3;24;43;12;14.3;64.0;9.5;18.7;960.7;1009.3;3.7;7.6;7;1
2012;23.0;30.4;17.0;27;47;16;14.8;56.0;14.6;26.3;958.3;1006.1;3.3;16.4;7;3
2012;22.0;30.4;13.3;26;50;11;11.2;46.0;17.2;32.0;965.2;1013.6;2.8;8.2;8;2
2012;20.2;27.5;12.5;26;49;10;11.9;53.0;12.9;24.0;962.7;1011.3;2.5;0.0;8;1
2012;17.4;24.9;11.3;21;43;9;11.0;58.0;10.0;19.9;959.9;1008.8;3.3;4.4;8;3
2012;12.6;20.3;6.8;14;32;5;8.1;60.0;7.5;15.0;962.0;1012.0;3.7;10.0;9;2
2012;15.4;24.3;6.0;19;45;4;6.6;41.0;12.5;23.0;963.9;1013.5;2.7;0.0;9;1
2012;10.5;17.0;4.6;12;32;2;6.8;56.0;6.4;11.7;969.3;1020.1;2.8;2.5;9;3
2013;7.3;12.8;2.8;9;22;1;6.68;70.0;4.5;9.3;964.0;1015.1;3.3;12.5;4;2
2013;11.1;17.2;6.3;12;25;4;9.5;74.0;4.3;9.8;961.6;1011.8;5.2;16.2;4;3
2013;3.8;10.3;-2.3;5;19;-4;5.3;67.0;3.9;8.4;976.0;1028.4;2.8;0.0;4;1
2013;10.1;17.1;3.3;15;34;2;7.0;59.0;6.1;11.2;962.8;1013.2;3.5;9.0;5;2
2013;13.2;20.9;5.7;18;39;4;8.0;55.0;8.3;15.2;966.4;1016.4;3.9;9.6;5;3
2013;10.7;17.4;4.4;14;31;3;7.0;59.0;6.7;12.6;966.1;1016.6;4.6;17.8;5;1
2013;16.7;23.8;8.9;22;44;7;9.6;53.0;10.4;19.5;964.4;1013.8;2.9;23.2;6;2
2013;20.4;27.4;13.4;25;47;11;10.6;46.0;14.5;24.0;960.2;1008.6;4.1;7.2;6;3
2013;15.7;22.7;8.6;21;42;7;9.0;54.0;10.0;18.5;960.3;1009.6;3.4;8.9;6;1
2013;17.6;23.4;12.2;22;41;11;14.9;76.0;6.3;13.6;954.9;1003.5;2.8;28.7;7;2
2013;19.2;25.3;13.8;22;41;13;17.4;80.0;5.5;13.5;954.7;1003.0;2.9;44.5;7;3
2013;16.3;22.3;11.1;20;37;10;13.6;75.0;5.6;11.9;956.0;1004.9;3.3;58.2;7;1
2013;16.1;22.3;9.6;20;38;8;13.2;75.0;5.8;12.8;966.7;1016.2;2.5;13.7;8;2
2013;17.2;24.4;12.0;20;36;10;13.3;70.0;7.4;15.6;961.3;1010.4;4.0;18.8;8;3
2013;19.0;25.8;13.9;22;41;13;17.1;79.0;5.4;12.7;954.4;1002.7;2.6;26.9;8;1
2013;7.6;13.6;2.3;11;27;2;7.4;71.0;3.5;7.3;968.7;1019.9;2.8;7.9;9;2
2013;11.0;19.9;2.1;12;31;0;6.1;51.0;8.4;16.8;964.4;1014.9;3.6;2.7;9;3
2013;16.9;24.8;10.3;20;40;9;11.6;64.0;8.7;18.2;966.2;1015.6;3.8;1.3;9;1
2014;4.4;11.6;-2.4;8;28;-4;4.67;58.0;4.6;9.3;974.9;1027.1;2.9;1.9;4;2
2014;4.4;12.1;-2.7;6;22;-4;4.82;61.0;4.4;9.0;966.5;1018.3;5.3;16.1;4;3
2014;3.7;10.3;-0.9;5;18;-1;5.92;75.0;2.4;5.6;963.0;1014.7;5.1;14.8;4;1
2014;14.3;22.6;5.9;18;40;3;7.9;50.0;10.4;19.7;970.2;1020.3;4.0;4.3;5;2
2014;13.1;19.9;7.2;16;32;6;9.7;67.0;6.7;13.6;963.3;1013.2;3.8;25.6;5;3
2014;15.0;23.8;6.4;19;40;3;6.5;40.0;11.9;21.5;969.8;1019.7;4.6;0.0;5;1
2014;23.1;31.2;14.3;29;56;12;11.4;44.0;18.4;33.0;959.7;1007.7;3.2;3.2;6;2
2014;23.0;30.3;15.0;29;52;14;13.5;51.0;16.0;28.1;963.1;1011.3;3.0;15.2;6;3
2014;13.2;20.2;5.6;17;38;4;7.7;54.0;8.3;15.6;967.5;1017.7;3.4;7.5;6;1
2014;16.7;23.6;11.3;21;41;10;12.9;71.0;7.3;16.2;956.2;1005.1;3.7;33.7;7;2
2014;14.5;20.3;9.9;18;34;9;11.8;74.0;5.1;11.2;955.4;1004.6;3.7;45.2;7;3
2014;19.6;26.3;13.1;24;44;12;13.9;66.0;10.5;20.7;960.9;1009.5;3.2;20.1;7;1
2014;20.0;28.3;12.6;25;47;11;12.4;58.0;13.0;26.4;961.2;1009.8;3.1;3.6;8;2
2014;20.5;29.3;12.9;23;46;11;11.0;50.0;15.4;30.2;965.2;1013.9;3.3;24.5;8;3
2014;18.5;26.3;9.3;24;49;7;11.4;58.0;11.0;21.8;966.4;1015.5;1.8;1.3;8;1
2014;9.0;17.1;2.7;11;30;1;6.8;62.0;5.7;11.7;967.3;1018.2;3.4;11.0;9;2
2014;8.6;15.2;2.7;10;26;1;6.8;65.0;5.0;10.0;967.4;1018.5;3.7;24.7;9;3
2014;11.6;19.3;4.9;15;39;3;7.3;56.0;7.3;14.2;965.3;1015.6;3.0;0.7;9;1
2015;6.2;12.3;1.6;6;18;0;7.24;77.0;2.7;6.3;964.6;1015.9;3.8;17.1;4;2
2015;9.3;15.9;3.2;11;26;2;7.7;68.0;4.7;10.2;964.5;1015.2;3.4;18.5;4;3
2015;-4.0;1.9;-9.5;-6;0;-12;3.97;80.0;1.1;2.0;975.0;1028.9;2.8;0.0;4;1
2015;13.3;18.8;8.3;16;34;7;11.0;73.0;4.7;9.8;962.5;1012.3;4.2;52.9;5;2
2015;13.7;19.4;8.1;16;34;6;10.8;71.0;5.6;11.3;964.5;1014.3;2.8;38.5;5;3
2015;16.0;23.5;8.8;19;42;6;8.6;49.0;10.8;19.9;965.7;1015.2;4.0;4.6;5;1
2015;18.8;25.6;13.2;23;43;12;15.3;72.0;7.4;16.8;961.5;1010.2;3.0;16.0;6;2
2015;20.8;27.6;12.3;26;49;11;12.1;51.0;13.6;25.3;962.8;1011.3;3.8;0.0;6;3
2015;19.0;25.4;12.1;23;43;11;13.7;65.0;9.3;18.2;964.3;1013.1;2.7;29.4;6;1
2015;22.9;31.2;14.3;29;51;13;12.3;48.0;17.4;32.5;959.6;1007.6;3.5;0.0;7;2
2015;19.3;26.8;13.1;23;44;12;14.0;65.0;9.5;19.2;958.7;1007.2;3.4;23.1;7;3
2015;16.7;22.8;10.7;21;39;10;11.7;64.0;8.9;16.0;956.7;1005.6;3.9;24.9;7;1
2015;18.5;26.0;11.4;22;41;10;10.2;53.0;12.8;23.5;962.6;1011.5;3.6;8.9;8;2
2015;14.7;22.5;7.7;18;35;7;8.1;53.0;9.9;19.2;961.8;1011.4;3.9;4.0;8;3
2015;19.7;27.2;11.6;25;47;10;10.6;49.0;13.7;25.4;961.6;1010.2;2.9;4.4;8;1
2015;10.9;18.6;4.0;13;32;3;7.9;65.0;6.2;14.1;966.6;1017.1;3.3;5.8;9;2
2015;5.9;13.5;-1.2;8;24;-2;5.83;65.0;4.2;8.6;975.3;1027.3;2.8;4.0;9;3
2015;15.2;23.0;8.3;17;36;7;9.6;59.0;9.1;19.1;968.2;1018.0;2.8;24.5;9;1
2016;11.3;19.1;3.7;13;29;2;7.3;58.0;7.0;15.0;968.5;1019.0;3.9;2.0;4;2
2016;9.7;16.4;3.1;13;30;2;7.4;63.0;5.2;11.1;968.4;1019.3;3.1;15.7;4;3
2016;4.6;9.9;1.0;6;16;0;6.85;82.0;1.9;4.4;965.9;1017.6;4.5;15.5;4;1
2016;11.1;18.7;2.7;14;35;0;5.9;49.0;8.6;15.9;968.4;1019.0;3.8;8.3;5;2
2016;17.7;25.1;10.0;21;41;8;8.2;44.0;13.0;22.3;965.7;1014.9;4.3;1.8;5;3
2016;8.6;15.5;1.3;12;30;-1;5.0;47.0;6.9;12.1;967.5;1018.6;4.0;10.8;5;1
2016;18.2;25.0;11.6;22;43;10;12.0;60.0;9.8;19.4;961.5;1010.4;4.9;16.6;6;2
2016;17.3;22.8;12.2;21;38;11;13.9;72.0;6.4;13.4;958.6;1007.5;4.0;36.1;6;3
2016;16.6;23.3;9.7;20;42;8;10.9;57.0;9.1;17.3;961.8;1011.0;3.8;21.9;6;1
